"ccode","cname","year","energy_carrier","values_TJ","shares"
"AL","Albania",2017,"Electricity",2845.17,0.4358
"AL","Albania",2018,"Electricity",3051.14,0.4576
"AL","Albania",2019,"Electricity",3432.524,0.502
"AL","Albania",2020,"Electricity",3816.274,0.5222
"AL","Albania",2021,"Electricity",3855.409,0.521
"AL","Albania",2017,"Oil and petroleum products",1258.968,0.1929
"AL","Albania",2018,"Oil and petroleum products",1285.461,0.1928
"AL","Albania",2019,"Oil and petroleum products",1408.542,0.206
"AL","Albania",2020,"Oil and petroleum products",1453.856,0.1989
"AL","Albania",2021,"Oil and petroleum products",1570.031,0.2122
"AL","Albania",2017,"Renewables and biofuels",2423.739,0.3713
"AL","Albania",2018,"Renewables and biofuels",2330.518,0.3496
"AL","Albania",2019,"Renewables and biofuels",1997.059,0.292
"AL","Albania",2020,"Renewables and biofuels",2038.228,0.2789
"AL","Albania",2021,"Renewables and biofuels",1974.253,0.2668
"AT","Austria",2017,"Electricity",9102.69,0.0442
"AT","Austria",2018,"Electricity",9074.563,0.0479
"AT","Austria",2019,"Electricity",9273.798,0.0476
"AT","Austria",2020,"Electricity",9106.711,0.0466
"AT","Austria",2021,"Electricity",10258.329,0.0459
"AT","Austria",2017,"Natural gas",53936.175,0.2621
"AT","Austria",2018,"Natural gas",49285.625,0.2601
"AT","Austria",2019,"Natural gas",52792.211,0.2711
"AT","Austria",2020,"Natural gas",52482.02,0.2683
"AT","Austria",2021,"Natural gas",60011.313,0.2684
"AT","Austria",2017,"Heat",29983.968,0.1457
"AT","Austria",2018,"Heat",28158.356,0.1486
"AT","Austria",2019,"Heat",27803.443,0.1428
"AT","Austria",2020,"Heat",28543.382,0.1459
"AT","Austria",2021,"Heat",33282.164,0.1488
"AT","Austria",2017,"Oil and petroleum products",38988.998,0.1895
"AT","Austria",2018,"Oil and petroleum products",34681.87,0.183
"AT","Austria",2019,"Oil and petroleum products",34923.018,0.1793
"AT","Austria",2020,"Oil and petroleum products",35401.116,0.181
"AT","Austria",2021,"Oil and petroleum products",38815.538,0.1736
"AT","Austria",2017,"Renewables and biofuels",72858.765,0.3541
"AT","Austria",2018,"Renewables and biofuels",67535.158,0.3564
"AT","Austria",2019,"Renewables and biofuels",69177.329,0.3552
"AT","Austria",2020,"Renewables and biofuels",69292.688,0.3542
"AT","Austria",2021,"Renewables and biofuels",80640.208,0.3606
"AT","Austria",2017,"Solid fossil fuels",904.326,0.0044
"AT","Austria",2018,"Solid fossil fuels",776.367,0.0041
"AT","Austria",2019,"Solid fossil fuels",791.183,0.0041
"AT","Austria",2020,"Solid fossil fuels",799.119,0.0041
"AT","Austria",2021,"Solid fossil fuels",618.889,0.0028
"BA","Bosnia & Herzegovina",2017,"Electricity",208.8,0.0082
"BA","Bosnia & Herzegovina",2018,"Electricity",206.41,0.0039
"BA","Bosnia & Herzegovina",2019,"Electricity",208.213,0.0041
"BA","Bosnia & Herzegovina",2020,"Electricity",211.255,0.0038
"BA","Bosnia & Herzegovina",2021,"Electricity",216.41,0.004
"BA","Bosnia & Herzegovina",2017,"Natural gas",1111.5,0.0438
"BA","Bosnia & Herzegovina",2018,"Natural gas",1059.498,0.0201
"BA","Bosnia & Herzegovina",2019,"Natural gas",1141.143,0.0223
"BA","Bosnia & Herzegovina",2020,"Natural gas",1195.574,0.0216
"BA","Bosnia & Herzegovina",2021,"Natural gas",1359.499,0.025
"BA","Bosnia & Herzegovina",2017,"Heat",3997,0.1575
"BA","Bosnia & Herzegovina",2018,"Heat",3964,0.0754
"BA","Bosnia & Herzegovina",2019,"Heat",3901,0.0764
"BA","Bosnia & Herzegovina",2020,"Heat",4107,0.0742
