ccode,cname,climate_variable,week,year,value
AL,Albania,hum,52,2010,81.94857406616211
AL,Albania,hum,1,2011,67.97023010253906
AL,Albania,hum,2,2011,70.69861875261579
AL,Albania,hum,3,2011,79.64169529506138
AL,Albania,hum,4,2011,77.44487653459821
AL,Albania,hum,5,2011,58.94510269165039
AL,Albania,hum,6,2011,51.878990173339844
AL,Albania,hum,7,2011,77.35652760096959
AL,Albania,hum,8,2011,84.13615308489118
AL,Albania,hum,9,2011,81.81871686662946
AL,Albania,hum,10,2011,60.17232295445034
AL,Albania,hum,11,2011,71.18785967145648
AL,Albania,hum,12,2011,61.15583310808454
AL,Albania,hum,13,2011,70.89900588989258
AL,Albania,hum,14,2011,67.61740439278739
AL,Albania,hum,15,2011,71.92248916625977
AL,Albania,hum,16,2011,53.479871477399556
AL,Albania,hum,17,2011,75.93936593191964
AL,Albania,hum,18,2011,74.22315216064453
AL,Albania,hum,19,2011,61.736127035958425
AL,Albania,hum,20,2011,76.507720947265625
AL,Albania,hum,21,2011,74.7677492414202
AL,Albania,hum,22,2011,72.92515781947544
AL,Albania,hum,23,2011,74.65185655866351
AL,Albania,hum,24,2011,67.9325942993164
AL,Albania,hum,25,2011,53.96911103384836
AL,Albania,hum,26,2011,74.91696384974888
AL,Albania,hum,27,2011,58.460966382707866
AL,Albania,hum,28,2011,52.52744565691267
AL,Albania,hum,29,2011,59.62610026768276
AL,Albania,hum,30,2011,73.09130859375
AL,Albania,hum,31,2011,73.69141878400531
AL,Albania,hum,32,2011,62.25371878487723
AL,Albania,hum,33,2011,55.62407466343471
AL,Albania,hum,34,2011,45.49608612060547
AL,Albania,hum,35,2011,52.13430568150112
AL,Albania,hum,36,2011,63.584650312151226
AL,Albania,hum,37,2011,57.46890640258789
AL,Albania,hum,38,2011,76.98831013270787
AL,Albania,hum,39,2011,60.35116304670061
AL,Albania,hum,40,2011,65.48315538678851
AL,Albania,hum,41,2011,66.58006559099469
AL,Albania,hum,42,2011,67.71552876063755
AL,Albania,hum,43,2011,69.7058835710798
AL,Albania,hum,44,2011,61.03434807913644
AL,Albania,hum,45,2011,72.60696356637138
AL,Albania,hum,46,2011,51.61552919660296
AL,Albania,hum,47,2011,72.97275488717216
AL,Albania,hum,48,2011,68.07695007324219
AL,Albania,hum,49,2011,82.1146719796317
AL,Albania,hum,50,2011,78.88001033238002
AL,Albania,hum,51,2011,80.41463906424386
AL,Albania,hum,52,2011,78.34409386771065
