"ccode","year","energy_carrier","shares"
"AL",2017,"Electricity",0.4358
"AL",2017,"Natural gas",0.1929
"AL",2017,"renewables",0.3713
"AL",2018,"Electricity",0.4576
"AL",2018,"Natural gas",0.1928
"AL",2018,"renewables",0.3496
"AL",2019,"Electricity",0.502
"AL",2019,"Natural gas",0.206
"AL",2019,"renewables",0.292
"AL",2020,"Electricity",0.5222
"AL",2020,"Natural gas",0.1989
"AL",2020,"renewables",0.2789
"AL",2021,"Electricity",0.521
"AL",2021,"Natural gas",0.2122
"AL",2021,"renewables",0.2668
"AT",2017,"Electricity",0.0442
"AT",2017,"Natural gas",0.456
"AT",2017,"renewables",0.4998
"AT",2018,"Electricity",0.0479
"AT",2018,"Natural gas",0.4472
"AT",2018,"renewables",0.505
"AT",2019,"Electricity",0.0476
"AT",2019,"Natural gas",0.4545
"AT",2019,"renewables",0.498
"AT",2020,"Electricity",0.0466
"AT",2020,"Natural gas",0.4534
"AT",2020,"renewables",0.5001
"AT",2021,"Electricity",0.0459
"AT",2021,"Natural gas",0.4448
"AT",2021,"renewables",0.5094
"BA",2017,"Electricity",0.0082
"BA",2017,"Natural gas",0.2765
"BA",2017,"renewables",0.7153
"BA",2018,"Electricity",0.0039
"BA",2018,"Natural gas",0.099
"BA",2018,"renewables",0.897
"BA",2019,"Electricity",0.0041
"BA",2019,"Natural gas",0.0778
"BA",2019,"renewables",0.9181
"BA",2020,"Electricity",0.0038
"BA",2020,"Natural gas",0.0857
"BA",2020,"renewables",0.9105
"BA",2021,"Electricity",0.004
"BA",2021,"Natural gas",0.0893
"BA",2021,"renewables",0.9067
"BE",2017,"Electricity",0.0308
"BE",2017,"Natural gas",0.8629
"BE",2017,"renewables",0.1064
"BE",2018,"Electricity",0.0312
"BE",2018,"Natural gas",0.8597
"BE",2018,"renewables",0.1093
"BE",2019,"Electricity",0.0329
"BE",2019,"Natural gas",0.8536
"BE",2019,"renewables",0.1134
"BE",2020,"Electricity",0.0308
"BE",2020,"Natural gas",0.8605
"BE",2020,"renewables",0.1088
"BE",2021,"Electricity",0.0347
"BE",2021,"Natural gas",0.8427
"BE",2021,"renewables",0.1226
"BG",2017,"Electricity",0.0872
"BG",2017,"Natural gas",0.168
"BG",2017,"renewables",0.7448
"BG",2018,"Electricity",0.0882
"BG",2018,"Natural gas",0.1482
"BG",2018,"renewables",0.7637
"BG",2019,"Electricity",0.0945
"BG",2019,"Natural gas",0.1447
"BG",2019,"renewables",0.7609
"BG",2020,"Electricity",0.0858
"BG",2020,"Natural gas",0.136
"BG",2020,"renewables",0.7782
"BG",2021,"Electricity",0.0919
"BG",2021,"Natural gas",0.1795
"BG",2021,"renewables",0.7286
"CY",2018,"Electricity",0.1326
"CY",2018,"Natural gas",0.6417
"CY",2018,"renewables",0.2257
"CY",2019,"Electricity",0.149
"CY",2019,"Natural gas",0.6399
"CY",2019,"renewables",0.2111
"CY",2020,"Electricity",0.1612
"CY",2020,"Natural gas",0.6294
"CY",2020,"renewables",0.2094
"CY",2021,"Electricity",0.1703
"CY",2021,"Natural gas",0.6035
"CY",2021,"renewables",0.2262
"CZ",2017,"Electricity",0.0463
"CZ",2017,"Natural gas",0.4652
