nuts_code,nuts_level
BE,0
BE1,1
BE10,2
BE100,3
BE2,1
BE21,2
BE211,3
BE212,3
BE213,3
BE22,2
BE223,3
BE224,3
BE225,3
BE23,2
BE231,3
BE232,3
BE233,3
BE234,3
BE235,3
BE236,3
BE24,2
BE241,3
BE242,3
BE25,2
BE251,3
BE252,3
BE253,3
BE254,3
BE255,3
BE256,3
BE257,3
BE258,3
BE3,1
BE31,2
BE310,3
BE32,2
BE323,3
BE328,3
BE329,3
BE32A,3
BE32B,3
BE32C,3
BE32D,3
BE33,2
BE331,3
BE332,3
BE334,3
BE335,3
BE336,3
BE34,2
BE341,3
BE342,3
BE343,3
BE344,3
BE345,3
BE35,2
BE351,3
BE352,3
BE353,3
BEZ,1
BEZZ,2
BEZZZ,3
BG,0
BG3,1
BG31,2
BG311,3
BG312,3
BG313,3
BG314,3
BG315,3
BG32,2
BG321,3
BG322,3
BG323,3
BG324,3
BG325,3
BG33,2
BG331,3
BG332,3
BG333,3
BG334,3
BG34,2
BG341,3
BG342,3
BG343,3
BG344,3
BG4,1
BG41,2
BG411,3
BG412,3
BG413,3
BG414,3
BG415,3
BG42,2
BG421,3
BG422,3
BG423,3
BG424,3
BG425,3
BGZ,1
BGZZ,2
BGZZZ,3
CZ,0
CZ0,1
CZ01,2
CZ010,3
CZ02,2
CZ020,3
CZ03,2
CZ031,3
CZ032,3
CZ04,2
CZ041,3
CZ042,3
CZ05,2
CZ051,3
CZ052,3
CZ053,3
CZ06,2
CZ063,3
CZ064,3
CZ07,2
CZ071,3
CZ072,3
CZ08,2
CZ080,3
CZZ,1
CZZZ,2
CZZZZ,3
DK,0
DK0,1
DK01,2
DK011,3
DK012,3
DK013,3
DK014,3
DK02,2
DK021,3
DK022,3
DK03,2
DK031,3
DK032,3
DK04,2
DK041,3
DK042,3
DK05,2
DK050,3
DKZ,1
DKZZ,2
DKZZZ,3
DE,0
DE1,1
DE11,2
DE111,3
DE112,3
DE113,3
DE114,3
DE115,3
DE116,3
DE117,3
DE118,3
DE119,3
DE11A,3
DE11B,3
DE11C,3
DE11D,3
DE12,2
DE121,3
DE122,3
DE123,3
DE124,3
DE125,3
DE126,3
DE127,3
DE128,3
DE129,3
DE12A,3
DE12B,3
DE12C,3
DE13,2
DE131,3
DE132,3
DE133,3
DE134,3
DE135,3
DE136,3
DE137,3
DE138,3
DE139,3
DE13A,3
DE14,2
DE141,3
DE142,3
DE143,3
DE144,3
DE145,3
DE146,3
DE147,3
DE148,3
DE149,3
DE2,1
DE21,2
DE211,3
DE212,3
DE213,3
DE214,3
DE215,3
DE216,3
DE217,3
DE218,3
DE219,3
