year,month,capital,country_code,gas_ppi,elect_ppi,country_clean
2009,Jan,Vienna,(AT),6.799378965359868,17.53832249058157,Austria
2009,Jan,Brussels,(BE),6.884336529477592,18.889994138231167,Belgium
2009,Jan,Sofia,(BG),NA,NA,Bulgaria
2009,Jan,Zagreb,(HR),NA,NA,Croatia
2009,Jan,Prague,(CZ),NA,NA,Czech Republic
2009,Jan,Copenhagen,(DK),6.314168471832083,24.115815070901206,Denmark
2009,Jan,Tallinn,(EE),NA,NA,Estonia
2009,Jan,Paris,(FR),5.157703354418751,10.779723002353517,France
2009,Jan,Berlin,(DE),7.194124144543323,19.39373347730573,Germany
2009,Jan,London,(GB),4.687981978384273,15.601487769918808,United Kingdom
2009,Jan,Athens,(GR),4.747283001516621,12.94744344824999,Greece
2009,Jan,Budapest,(HU),NA,NA,Hungary
2009,Jan,Dublin,(IE),5.530045544181216,17.019820393392088,Ireland
2009,Jan,Rome,(IT),7.0989229876956506,16.802435419297368,Italy
2009,Jan,Riga,(LV),NA,NA,Latvia
2009,Jan,Vilnius,(LT),NA,NA,Lithuania
2009,Jan,Luxembourg,City,5.001664063545151,16.45861204013378,Luxembourg
2009,Jan,Amsterdam,(NL),6.659162253470987,17.955322178711288,Netherlands
2009,Jan,Warsaw,(PL),NA,NA,Poland
2009,Jan,Lisbon,(PT),6.532436729427737,19.760228963166586,Portugal
2009,Jan,Bucharest,(RO),NA,NA,Romania
2009,Jan,Belgrade,(RS),NA,NA,Serbia
2009,Jan,Bratislava,(SK),NA,NA,Slovakia
2009,Jan,Ljubljana,(SI),NA,NA,Slovenia
2009,Jan,Madrid,(ES),6.854003595040063,16.71042277965304,Spain
2009,Jan,Stockholm,(SE),12.749114132603763,13.7373468075022,Sweden
2009,Jan,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Jan,Kyiv,(UA),NA,NA,Ukraine
2009,Jan,Average,-,6.7324879825471395,16.480477773248204,NA
2009,Jan,Average,-,6.586451839392649,NA,NA
2009,Feb,Vienna,(AT),5.981565830566716,17.53832249058157,Austria
2009,Feb,Brussels,(BE),5.969555630850667,18.243156828960693,Belgium
2009,Feb,Sofia,(BG),NA,NA,Bulgaria
2009,Feb,Zagreb,(HR),NA,NA,Croatia
2009,Feb,Prague,(CZ),NA,NA,Czech Republic
2009,Feb,Copenhagen,(DK),6.367852105465859,24.116254541193015,Denmark
2009,Feb,Tallinn,(EE),NA,NA,Estonia
2009,Feb,Paris,(FR),5.153514282964557,10.779723002353517,France
2009,Feb,Berlin,(DE),6.8183862270544005,19.39373347730573,Germany
2009,Feb,London,(GB),4.533143030138399,15.004657255749265,United Kingdom
2009,Feb,Athens,(GR),4.3652552307354275,12.94744344824999,Greece
